,course_name,skill_label
63,Refresher für Hygienebeauftragte - Online-Seminar,Parasitologie
64,Sprach- und Sprechstörungen - besondere Herausforderungen in der Pflege,Erste Hilfe
65,Stressmanagement mit Humor und Resilienz - Online-Seminar,andere führen
66,Tiergestützte Therapie in der Altenpflege bei Menschen mit Demenz,tiergestützte Therapie
67,Umgang mit Angehörigen von Menschen mit Demenz,Beratung
68,Umgang mit Angehörigen von Menschen mit Demenz,Kommunikation
69,Validation - Kommunikation mit demenzerkrankten Menschen,Kommunikation
70,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Mitarbeiter führen
71,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",andere führen
72,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",betriebswirtschaftliche Grundsätze
73,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Personalmanagement
74,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Öffentlichkeitsarbeit
75,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Strafrecht
76,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Kommunikation
77,"Verantwortliche Pflegefachkraft für die ambulante und stationäre Pflege (zertifiziert, berufsbegleitend)",Soziologie
78,AutoCAD - Grundkurs,Erste Hilfe
79,Berufsstart für Migranten und Migrantinnen,Deutsch
80,Berufsstart für Migranten und Migrantinnen,Arbeitsmarkt
81,Berufsstart für Migranten und Migrantinnen,Arbeitsrecht
82,"Betreuungskräfte nach §§ 43b, 53c SGB XI",Kommunikation
83,CAD Fachkraft im Rahmen des Modulsystems Fertigungstechnik,Kommunikation
84,CAD Fachkraft im Rahmen des Modulsystems Fertigungstechnik,technische Zeichnungen
85,CAD Fachkraft im Rahmen des Modulsystems Fertigungstechnik,Erste Hilfe
86,CAD Fachkraft im Rahmen des Modulsystems Fertigungstechnik,Maschinenbau
87,Englisch für Anfänger,Englisch
88,Englisch für Anfänger,andere führen
89,"Hausmeister/ -in, Hauswart/ -in, Haustechniker/ -in",Elektrotechnik
90,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Elektrotechnik
91,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Elektronik
92,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Pneumatik
93,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Hydraulik
94,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Steuerungstechnik
95,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Messtechnik
96,Mechatronische Systeme im Rahmen des Modulsystems Fertigungstechnik,Englisch
97,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Betriebswirtschaft
98,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Psychologie
99,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Arbeitsmarkt
100,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Betriebswirtschaft
101,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Informatik
102,"Praxisnahe berufliche Weiterbildung für soziale Dienste, Hauskranken- und Altenpflege mit Erwerb des Führerscheins Klasse B",Psychologie
103,Umschulung für junge Eltern zum/-r Kaufmann/Kauffrau für Büromanagement (IHK),Kommunikation
104,Umschulung für junge Eltern zum/-r Kaufmann/Kauffrau für Büromanagement (IHK),Teambildung
105,Umschulung zum/ zur Holzmechaniker/in,Waren sichern
106,Umschulung zum/ zur Holzmechaniker/in,Waren verpacken
107,Update Büro - Rationelles Arbeiten mit MS Office 2016/2019,Datenschutz
108,10-Finger-Tastenschreiben,Ergonomie
109,Agiles Projektmanagement (IHK) (Live-Online),agiles Projektmanagement
110,Agiles Projektmanagement (IHK) (Live-Online),planen
111,Agiles Projektmanagement (IHK) (Live-Online),Design Thinking
112,Agiles Projektmanagement (IHK) (Live-Online),iOS
113,Ausbildung der Ausbilder - für Fachwirte,planen
114,Ausbildung der Ausbilder - für Fachwirte,planen
115,Ausbildung der Ausbilder - Standardlehrgang zur Vorbereitung auf die IHK-Prüfung,planen
116,Ausbildung der Ausbilder - Standardlehrgang zur Vorbereitung auf die IHK-Prüfung,planen
117,Ausbildung der Ausbilder - Vorbereitung auf die AEVO-Prüfung,planen
118,Ausbildungsmarketing - Wie finde ich heute noch Azubis,planen
119,Ausbildungsmarketing - Wie finde ich heute noch Azubis,Erste Hilfe
120,Ausbildungsmarketing - Wie finde ich heute noch Azubis,Erste Hilfe
121,Betrieblicher Datenschutzbeauftragter (IHK) - (Live-Online),Datenschutz
122,Betrieblicher Datenschutzbeauftragter (IHK) - (Live-Online),iOS
123,Betriebliches Rechnungswesen (IHK),Buchführung
124,Betriebliches Rechnungswesen (IHK),Jahresabschluss
125,Buchführung für Einsteiger,Buchführung
126,Buchführung für Einsteiger,Steuerrecht
127,Buchführung für Einsteiger,Abschreibung
128,Buchführung für Einsteiger,Buchführung
129,Buchführung für Einsteiger,Steuerrecht
130,Buchführung für Einsteiger,Abschreibung
131,Business Coach (IHK) ,Persönlichkeitsentwicklung
132,Business Coach (IHK) ,Kommunikation
133,Business Coach (IHK) ,Konfliktmanagement
134,Büromanagement & Selbstorganisation,Rhetorik
135,Controlling für Einsteiger,Erste Hilfe
136,Controlling für Einsteiger,Erste Hilfe
137,Das aktuelle Reisekostenrecht - Wissensupdate,andere führen
138,Das aktuelle Reisekostenrecht - Wissensupdate,Gesetzgebungsverfahren
139,Das aktuelle Reisekostenrecht - Wissensupdate,planen
140,Das aktuelle Reisekostenrecht - Wissensupdate,andere führen
141,Das aktuelle Reisekostenrecht - Wissensupdate,Gesetzgebungsverfahren
142,Der optimale Bewerbungs- und Auswahlprozess,planen
143,Der optimale Bewerbungs- und Auswahlprozess,andere führen
144,Der optimale Bewerbungs- und Auswahlprozess,Entscheidungen treffen
145,Der optimale Bewerbungs- und Auswahlprozess,andere führen
146,"Der Zollprüfer kommt! - Wie man sich vorbereitet, so kommt man durch ",Entscheidungen treffen
147,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,planen
148,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Reflexion
149,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Geschäftsmodell
150,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Kommunikation
151,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,planen
152,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Reflexion
153,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Geschäftsmodell
154,Die persönliche Nachfolgestrategie - die optimale Planung für den Unternehmer,Kommunikation
